"scientific_name","common_name","stock_name","stock_area","overfishing","overfished","assessment_level","last_assessment","catch_gap","abundance_gap","LH_gap","comp_gap","eco_gap","Complexity.in.Reproductive.Strategy","Habitat.Specificity","Prey.Specificity","Exposure","Sensitivity","tmax","tm","rho","Fmsy_over_M","MASPS","margsd","Loo","K","M","r","status","tmax2","margsd2","rho2","Fmsy_over_M2","status2","avg_p_score","avg_s_score","score"
"Etelis _ carbunculus","Squirrelfish snapper","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1.78571428571429,1.92307692307692,1.8543956043956
"Etelis _ coruscans","Flame snapper","American Samoa Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1.85714285714286,1.92307692307692,1.89010989010989
"Etelis _ coruscans","Flame snapper","Guam Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1.85714285714286,1.92307692307692,1.89010989010989
"Etelis _ coruscans","Flame snapper","Northern Mariana Islands Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1.85714285714286,1.92307692307692,1.89010989010989
"Etelis _ coruscans","Longtail snapper","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","","Unknown","Unknown",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1.85714285714286,1.92307692307692,1.89010989010989
"Etelis _ oculatus","Queen snapper","Queen snapper - Caribbean","Caribbean","Unknown","Unknown",1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1.92857142857143,1.69230769230769,1.81043956043956
"Farfantepenaeus _ aztecus","Brown shrimp","Brown shrimp - Gulf of Mexico","Gulf of Mexico","Unknown","Unknown",2,3,1,3,2,2,3,2,2,3,1,2,2,2,2,2,2,2,1,3,2,3,2,2,2,2,2,2,2.14285714285714,2.07692307692308,2.10989010989011
"Farfantepenaeus _ aztecus","Brown shrimp","Brown shrimp - Southern Atlantic Coast","Southern Atlantic Coast","Unknown","Unknown",1,2,2,2,1,1,2,2,2,3,1,2,2,2,2,2,2,2,1,3,2,3,2,2,2,2,2,2,2.14285714285714,1.69230769230769,1.91758241758242
"Farfantepenaeus _ duorarum","Pink shrimp","Pink shrimp - Gulf of Mexico","Gulf of Mexico","Unknown","Unknown",2,3,1,3,2,2,3,2,2,3,1,1,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2.14285714285714,2.07692307692308,2.10989010989011
"Farfantepenaeus _ duorarum","Pink shrimp","Pink shrimp - Southern Atlantic Coast","Southern Atlantic Coast","Unknown","Unknown",1,2,2,2,1,1,2,2,2,3,1,1,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2.14285714285714,1.69230769230769,1.91758241758242
