"Scientific name","Stock name","Jurisdiction","FMP","Science Center","Area","Productivity score","Susceptibility score","Vulnerability score"
"Nautichthys pribilovius","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.83,3,2.01
"Trachidermus fasciatus","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.83,3,2.01
"Nautichthys oculofasciatus","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.83,3,2.01
"Icelus spatula","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.83,3,2.01
"Citharichthys sordidus","Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",3,3,2
"Myoxocephalus scorpius","Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",3,3,2
"Carangoides orthogrammus","Island jack - Guam","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,3,2
"Parupeneus porphyreus","Goatfish (Parupeneus porphyreus) - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,3,2
"Parupeneus insularis","Twosaddle goatfish - Main Hawaiian Islands","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",3,3,2
"Sparisoma chrysopterum","Redtail parrotfish - Caribbean","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea",3,3,2
"Sparisoma rubripinne","Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea",3,3,2
"Sparisoma chrysopterum","Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea",3,3,2
"Epinephelus itajara","Goliath grouper - Southern Atlantic Coast / Gulf of Mexico","SAFMC / GMFMC","Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico","SEFSC","Southeast Shelf / Gulf of Mexico",1.29,2,1.98
"Sebastes aleutianus","Rougheye rockfish - Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.57,2.33,1.95
"Sebastes aleutianus","Eastern Bering Sea Blackspotted and Rougheye Rockfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.57,2.33,1.95
"Aphareus rutilans","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex","WPFMC","Hawaii Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2,2.67,1.94
"Gadus chalcogrammus","Walleye pollock - Bogoslof","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.17,2.67,1.86
"Gadus macrocephalus","Pacific cod - Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",2.17,2.67,1.86
"Lethrinus rubrioperculatus","American Samoa Bottomfish Multi-species Complex","WPFMC","American Samoa Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.17,2.67,1.86
"Lethrinus rubrioperculatus","Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.17,2.67,1.86
"Lethrinus rubrioperculatus","Northern Mariana Islands Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex",2.17,2.67,1.86
"Sebastolobus alascanus","Shortspine thornyhead - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.71,2.33,1.85
"Squalus suckleyi","Bering Sea / Aleutian Islands Shark Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex",1.17,1,1.83
"Malacoraja senta","Smooth skate - Gulf of Maine","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf",1.5,2,1.8
"Amblyraja radiata","Thorny skate - Gulf of Maine","NEFMC","Northeast Skate Complex","NEFSC","Northeast Shelf",1.5,2,1.8
"Raja binoculata","Big skate - Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","AFSC","Alaska Ecosystem Complex",1.5,2,1.8
"Sebastes melanops","Black rockfish - Oregon","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes melanops","Black rockfish - Point Conception / Oregon Border","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes melanops","Black rockfish - South of Point Conception","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes melanops","Black rockfish - Washington","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes melanops","Black rockfish - Northern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
"Sebastes melanops","Black rockfish - Southern Pacific Coast","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current",1.5,2,1.8
