"Stock.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","Common.Name","Stock.Area","Assessment.Level","Model.Category","F.Flimit","F.Fmsy","B.Blimit","B.Bmsy","Genus","Species","overfishing","overfished","scientific_name","Mean.Gap","Exposure","Sensitivity","Loo","tmax","tm","M","h","r","Fmsy_over_M","Assessment.Level_scored","Model.Category_scored","status","scored_gap","avg_p_score","avg_s_score","distance"
"Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Roughscale sole","",NA,2,0.166999996,0.166999996,NA,NA,"Clidoderma","asperrimum","Unknown","Unknown","Clidoderma _ asperrimum",NA,NA,NA,3,2,2,2,3,2,3,NA,3,NA,NA,2.33333333333333,3,2.10818510677892
"Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Sand sole","",NA,2,0.166999996,0.166999996,NA,NA,"Psettichthys","melanostictus","Unknown","Unknown","Psettichthys _ melanostictus",NA,NA,NA,3,2,1,2,3,2,3,NA,3,NA,NA,2.16666666666667,3,2.16666666666667
"Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Slender sole","",NA,2,0.166999996,0.166999996,NA,NA,"Lyopsetta","exilis","Unknown","Unknown","Lyopsetta _ exilis",NA,NA,NA,3,2,1,2,3,2,3,NA,3,NA,NA,2.16666666666667,3,2.16666666666667
"Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Starry flounder","",NA,2,0.166999996,0.166999996,NA,NA,"Platichthys","stellatus","Unknown","Unknown","Platichthys _ stellatus",NA,1,3,3,2,2,2,3,2,3,NA,3,NA,NA,2.42857142857143,2.33333333333333,1.45062344873598
"Bering Sea / Aleutian Islands Other Flatfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Sakhalin sole","",NA,2,0.166999996,0.166999996,NA,NA,"Limanda","sakhalinensis","Unknown","Unknown","Limanda _ sakhalinensis",NA,NA,NA,3,2,2,2,3,2,3,NA,3,NA,NA,2.33333333333333,3,2.10818510677892
"Bering Sea / Aleutian Islands Other Rockfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Dusky rockfish","",NA,2,0.593999982,0.593999982,NA,NA,"Sebastes","variabilis","Unknown","Unknown","Sebastes _ variabilis",2,NA,NA,3,1,1,1,2,1,3,NA,3,NA,2,1.5,2.66666666666667,2.24227067451228
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Aleutian skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","aleutica","Unknown","Unknown","Bathyraja _ aleutica",NA,NA,NA,2,2,1,1,2,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Big skate","",NA,2,0.25,0.25,NA,NA,"Raja","binoculata","Unknown","Unknown","Raja _ binoculata",NA,NA,NA,2,2,1,2,1,1,1,NA,3,NA,NA,1.5,2,1.80277563773199
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Bering skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","interrupta","Unknown","Unknown","Bathyraja _ interrupta",NA,NA,NA,3,2,1,2,2,2,2,NA,3,NA,NA,2,2.5,1.80277563773199
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Whiteblotched skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","maculata","Unknown","Unknown","Bathyraja _ maculata",NA,NA,NA,2,2,1,1,2,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Mud skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","taranetzi","Unknown","Unknown","Bathyraja _ taranetzi",NA,NA,NA,2,2,1,1,2,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Longnose skate","",NA,2,0.25,0.25,NA,NA,"Raja","rhina","Unknown","Unknown","Raja _ rhina",NA,NA,NA,2,2,1,2,1,1,1,NA,3,NA,NA,1.5,2,1.80277563773199
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Commander skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","lindbergi","Unknown","Unknown","Bathyraja _ lindbergi",NA,1,3,2,2,1,1,2,1,2,NA,3,NA,NA,1.71428571428571,2,1.62882203585591
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Butterfly skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","mariposa","Unknown","Unknown","Bathyraja _ mariposa",NA,NA,NA,2,2,1,1,2,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","whitebrow skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","minispinosa","Unknown","Unknown","Bathyraja _ minispinosa",NA,NA,NA,2,1,1,1,2,1,2,NA,3,NA,NA,1.33333333333333,2.5,2.24227067451229
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Roughtail skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","trachura","Unknown","Unknown","Bathyraja _ trachura",NA,NA,NA,2,2,1,1,2,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Okhotsk skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","violacea","Unknown","Unknown","Bathyraja _ violacea",NA,NA,NA,2,2,1,1,2,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Roughshoulder skate","",NA,2,0.25,0.25,NA,NA,"Amblyraja","badia","Unknown","Unknown","Amblyraja _ badia",NA,NA,NA,2,2,1,2,1,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Deepsea skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","abyssicola","Unknown","Unknown","Bathyraja _ abyssicola",NA,NA,NA,2,2,1,1,2,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Leopard skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","panthera","Unknown","Unknown","Bathyraja _ panthera",NA,NA,NA,2,2,1,1,2,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Other Skates Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Pacific white skate","",NA,2,0.25,0.25,NA,NA,"Bathyraja","spinosissima","Unknown","Unknown","Bathyraja _ spinosissima",NA,NA,NA,2,2,1,1,2,1,2,NA,3,NA,NA,1.5,2.5,2.12132034355964
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Great sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Myoxocephalus","polyacanthocephalus","Unknown","Unknown","Myoxocephalus _ polyacanthocephalus",NA,NA,NA,2,2,1,2,3,2,3,NA,3,NA,NA,2,3,2.23606797749979
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Plain sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Myoxocephalus","jaok","Unknown","Unknown","Myoxocephalus _ jaok",NA,1,2,2,2,1,2,3,2,3,NA,3,NA,NA,2,2.33333333333333,1.66666666666667
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Warty sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Myoxocephalus","scorpius","Unknown","Unknown","Myoxocephalus _ scorpius",NA,NA,NA,3,3,3,3,3,3,3,NA,3,NA,NA,3,3,2
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Yellow irish lord","",NA,2,0.086000003,0.086000003,NA,NA,"Hemilepidotus","jordani","Unknown","Unknown","Hemilepidotus _ jordani",NA,NA,NA,3,2,2,2,3,3,3,NA,3,NA,NA,2.5,3,2.06155281280883
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Antlered sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Enophrys","diceraus","Unknown","Unknown","Enophrys _ diceraus",NA,NA,NA,3,3,2,3,3,3,3,NA,3,NA,NA,2.83333333333333,3,2.00693242979872
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Arctic staghorn sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Gymnocanthus","tricuspis","Unknown","Unknown","Gymnocanthus _ tricuspis",NA,NA,NA,3,3,2,3,3,3,3,NA,3,NA,NA,2.83333333333333,3,2.00693242979872
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Armorhead sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Gymnocanthus","galeatus","Unknown","Unknown","Gymnocanthus _ galeatus",NA,NA,NA,3,2,1,2,3,2,3,NA,3,NA,NA,2.16666666666667,3,2.16666666666667
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Blackfin sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Malacocottus","kincaidi","Unknown","Unknown","Malacocottus _ kincaidi",NA,NA,NA,3,2,1,2,3,2,3,NA,3,NA,NA,2.16666666666667,3,2.16666666666667
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Butterfly sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Hemilepidotus","papilio","Unknown","Unknown","Hemilepidotus _ papilio",NA,NA,NA,3,2,2,2,3,3,3,NA,3,NA,NA,2.5,3,2.06155281280883
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Crested sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Blepsias","bilobus","Unknown","Unknown","Blepsias _ bilobus",NA,NA,NA,3,3,2,3,3,3,3,NA,3,NA,NA,2.83333333333333,3,2.00693242979872
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Darkfin sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Malacocottus","zonurus","Unknown","Unknown","Malacocottus _ zonurus",NA,NA,NA,3,2,1,2,3,2,3,NA,3,NA,NA,2.16666666666667,3,2.16666666666667
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Eyeshade sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Nautichthys","pribilovius","Unknown","Unknown","Nautichthys _ pribilovius",NA,NA,NA,3,3,2,3,3,3,3,NA,3,NA,NA,2.83333333333333,3,2.00693242979872
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Highbrow sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Triglops","metopias","Unknown","Unknown","Triglops _ metopias",NA,NA,NA,3,2,2,2,3,3,3,NA,3,NA,NA,2.5,3,2.06155281280883
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Hookhorn sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Artediellus","pacificus","Unknown","Unknown","Artediellus _ pacificus",NA,NA,NA,3,2,2,2,3,3,3,NA,3,NA,NA,2.5,3,2.06155281280883
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Purplegray sculpin","",NA,2,0.086000003,0.086000003,NA,NA,"Gymnocanthus","detrisus","Unknown","Unknown","Gymnocanthus _ detrisus",NA,NA,NA,3,2,1,2,3,2,3,NA,3,NA,NA,2.16666666666667,3,2.16666666666667
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Red irish lord","",NA,2,0.086000003,0.086000003,NA,NA,"Hemilepidotus","hemilepidotus","Unknown","Unknown","Hemilepidotus _ hemilepidotus",NA,NA,NA,3,2,2,2,3,3,3,NA,3,NA,NA,2.5,3,2.06155281280883
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Ribbed sclupin","",NA,2,0.086000003,0.086000003,NA,NA,"Triglops","pingelii","Unknown","Unknown","Triglops _ pingelii",NA,NA,NA,3,2,2,2,3,3,3,NA,3,NA,NA,2.5,3,2.06155281280883
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Roughspine sclupin","",NA,2,0.086000003,0.086000003,NA,NA,"Trachidermus","fasciatus","Unknown","Unknown","Trachidermus _ fasciatus",NA,NA,NA,3,3,2,3,3,3,3,NA,3,NA,NA,2.83333333333333,3,2.00693242979872
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Sailfin sclupin","",NA,2,0.086000003,0.086000003,NA,NA,"Nautichthys","oculofasciatus","Unknown","Unknown","Nautichthys _ oculofasciatus",NA,NA,NA,3,3,2,3,3,3,3,NA,3,NA,NA,2.83333333333333,3,2.00693242979872
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Scissortail sclupin","",NA,2,0.086000003,0.086000003,NA,NA,"Triglops","forficatus","Unknown","Unknown","Triglops _ forficatus",NA,NA,NA,3,2,2,2,3,3,3,NA,3,NA,NA,2.5,3,2.06155281280883
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Spatulate sclupin","",NA,2,0.086000003,0.086000003,NA,NA,"Icelus","spatula","Unknown","Unknown","Icelus _ spatula",NA,NA,NA,3,3,2,3,3,3,3,NA,3,NA,NA,2.83333333333333,3,2.00693242979872
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Spectacled sclupin","",NA,2,0.086000003,0.086000003,NA,NA,"Triglops","scepticus","Unknown","Unknown","Triglops _ scepticus",NA,NA,NA,3,2,1,2,3,3,3,NA,3,NA,NA,2.33333333333333,3,2.10818510677892
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Spinyhead sclupin","",NA,2,0.086000003,0.086000003,NA,NA,"Dasycottus","setiger","Unknown","Unknown","Dasycottus _ setiger",NA,NA,NA,3,2,1,1,3,2,3,NA,3,NA,NA,2,3,2.23606797749979
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Thorny sclupin","",NA,2,0.086000003,0.086000003,NA,NA,"Icelus","spiniger","Unknown","Unknown","Icelus _ spiniger",NA,NA,NA,3,2,2,2,3,3,3,NA,3,NA,NA,2.5,3,2.06155281280883
"Bering Sea / Aleutian Islands Sculpin Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Threaded sclupin","",NA,2,0.086000003,0.086000003,NA,NA,"Gymnocanthus","pistilliger","Unknown","Unknown","Gymnocanthus _ pistilliger",NA,NA,NA,3,3,2,2,3,3,3,NA,3,NA,NA,2.66666666666667,3,2.02758751009941
"Bering Sea / Aleutian Islands Shark Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Pacific sleeper shark","",0,NA,NA,NA,NA,NA,"Somniosus","pacificus","Unknown","Unknown","Somniosus _ pacificus",NA,1,3,2,2,1,1,1,1,1,NA,NA,NA,NA,1.57142857142857,1,1.42857142857143
"Bering Sea / Aleutian Islands Shark Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Salmon shark","",0,NA,NA,NA,NA,NA,"Lamna","ditropis","Unknown","Unknown","Lamna _ ditropis",NA,1,3,1,2,1,1,1,1,1,NA,NA,NA,NA,1.42857142857143,1,1.57142857142857
"California Blue and Deacon Rockfish Complex","PFMC","Pacific Coast Groundfish","NWFSC / SWFSC","California Current","Deacon rockfish","",NA,6,0.851999998,0.851999998,1.659000039,1.036999941,"Sebastes","predictive","Unknown","Unknown","Sebastes _ diaconus",NA,NA,NA,3,1,1,1,2,1,3,NA,1,NA,NA,1.5,2,1.80277563773199
"Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Midnight parrotfish","",0,NA,NA,NA,NA,NA,"Scarus","coelestinus","Unknown","Unknown","Scarus _ coelestinus",NA,NA,NA,3,2,2,2,2,2,3,NA,NA,NA,NA,2.16666666666667,3,2.16666666666667
"Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Rainbow parrotfish","",0,NA,NA,NA,NA,NA,"Scarus","guacamaia","Unknown","Unknown","Scarus _ guacamaia",NA,NA,NA,3,2,2,2,2,2,3,NA,NA,NA,NA,2.16666666666667,3,2.16666666666667
"Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Princess parrotfish","",0,NA,NA,NA,NA,NA,"Scarus","taeniopterus","Unknown","Unknown","Scarus _ taeniopterus",NA,NA,NA,3,2,2,2,2,2,3,NA,NA,NA,NA,2.16666666666667,3,2.16666666666667
"Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Queen parrotfish","",0,NA,NA,NA,NA,NA,"Scarus","vetula","Unknown","Unknown","Scarus _ vetula",NA,NA,NA,3,2,3,2,2,2,3,NA,NA,NA,NA,2.33333333333333,3,2.10818510677892
"Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Redband parrotfish","",0,NA,NA,NA,NA,NA,"Sparisoma","aurofrenatum","Unknown","Unknown","Sparisoma _ aurofrenatum",NA,2,2,3,3,3,3,3,3,3,NA,NA,NA,NA,2.85714285714286,2.5,1.50678736498064
"Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Redfin parrotfish","",0,NA,NA,NA,NA,NA,"Sparisoma","rubripinne","Unknown","Unknown","Sparisoma _ rubripinne",NA,NA,NA,3,3,3,3,3,3,3,NA,NA,NA,NA,3,3,2
"Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Redtail parrotfish","",0,NA,NA,NA,NA,NA,"Sparisoma","chrysopterum","Unknown","Unknown","Sparisoma _ chrysopterum",NA,NA,NA,3,3,3,3,3,3,3,NA,NA,NA,NA,3,3,2
"Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Stoplight parrotfish","",0,NA,NA,NA,NA,NA,"Sparisoma","viride","Unknown","Unknown","Sparisoma _ viride",NA,NA,NA,3,3,3,2,2,3,3,NA,NA,NA,NA,2.66666666666667,3,2.02758751009941
"Caribbean Parrotfishes Complex","CFMC","Reef Fish Fishery of Puerto Rico and the U.S. Virgin Islands","SEFSC","Caribbean Sea","Striped parrotfish","",0,NA,NA,NA,NA,NA,"Scarus","iseri","Unknown","Unknown","Scarus _ iseri",NA,NA,NA,3,3,3,3,2,3,3,NA,NA,NA,NA,2.83333333333333,3,2.00693242979872
"Eastern Bering Sea Blackspotted and Rougheye Rockfish Complex","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","AFSC","Alaska Ecosystem Complex","Blackspotted rockfish","Eastern Bering Sea",1,2,1.536999941,1.536999941,NA,NA,"Sebastes","melanostictus","Unknown","Unknown","Sebastes _ melanostictus",NA,NA,NA,3,1,1,1,2,1,3,NA,3,NA,NA,1.5,3,2.5
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Black trevally","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Caranx","lugubris","Unknown","Unknown","Caranx _ lugubris",3,NA,NA,2,2,2,3,3,3,3,2,2,NA,3,2.5,2.66666666666667,1.74005108481842
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Giant trevally","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Caranx","ignobilis","Unknown","Unknown","Caranx _ ignobilis",3,1,3,2,2,2,3,3,2,3,2,2,NA,3,2.42857142857143,2.25,1.37442010034956
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Ruby snapper","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Etelis","carbunculus","Unknown","Unknown","Etelis _ carbunculus",3,NA,NA,2,2,1,1,2,2,3,2,2,NA,3,1.66666666666667,2.66666666666667,2.13437474581095
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Flame snapper","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Etelis","coruscans","Unknown","Unknown","Etelis _ coruscans",3,NA,NA,2,2,1,1,2,2,3,2,2,NA,3,1.66666666666667,2.66666666666667,2.13437474581095
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Redgill emperor","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Lethrinus","rubrioperculatus","Unknown","Unknown","Lethrinus _ rubrioperculatus",3,NA,NA,3,2,2,2,2,2,3,2,2,NA,3,2.16666666666667,2.66666666666667,1.86338998124982
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Bluestripe snapper","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Lutjanus","kasmira","Unknown","Unknown","Lutjanus _ kasmira",3,1,3,3,2,2,2,2,2,3,2,2,NA,3,2.28571428571429,2.25,1.43968888362474
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Yelloweye snapper","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Pristipomoides","flavipinnis","Unknown","Unknown","Pristipomoides _ flavipinnis",3,NA,NA,3,3,3,3,3,3,3,2,2,NA,3,3,2.66666666666667,1.66666666666667
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Von Siebold's snapper","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Pristipomoides","sieboldii","Unknown","Unknown","Pristipomoides _ sieboldii",3,NA,NA,3,2,2,3,3,3,3,2,2,NA,3,2.66666666666667,2.66666666666667,1.69967317119759
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Oblique-banded snapper","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Pristipomoides","zonatus","Unknown","Unknown","Pristipomoides _ zonatus",3,1,3,3,2,2,3,3,3,3,2,2,NA,3,2.71428571428571,2.25,1.28223736221545
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Goldflag snapper","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Pristipomoides","auricilla","Unknown","Unknown","Pristipomoides _ auricilla",3,NA,NA,3,3,3,3,3,3,3,2,2,NA,3,3,2.66666666666667,1.66666666666667
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Pink snapper","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Pristipomoides","filamentosus","Unknown","Unknown","Pristipomoides _ filamentosus",3,1,3,2,2,2,2,3,2,3,2,2,NA,3,2.28571428571429,2.25,1.43968888362474
"Guam Bottomfish Multi-species Complex","WPFMC","Mariana Archipelago Ecosystem","PIFSC","Pacific Islands Ecosystem Complex","Lyretail grouper","",3,3,0.681999981,0.681999981,1.146999955,0.802999973,"Variola","louti","Unknown","Unknown","Variola _ louti",3,NA,NA,2,2,1,3,3,3,3,2,2,NA,3,2.33333333333333,2.66666666666667,1.7950549357115
